Nx=16, Ny=16, Nz=16
dx=0.153093, dy=0.153093, dz=0.153093
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
0.064208 1.011078 12.673443 -7.127630
0.054147 1.029036 13.921922 -6.697873
0.074943 0.995938 11.354714 -7.957458
0.138008 0.858106 7.083902 -7.628881
0.270711 0.639084 1.359167 -5.991692
0.487407 0.405509 -4.762181 -3.162598
0.723698 0.216343 -6.810313 3.347953
0.916421 0.110563 -7.998943 8.552511
1.007716 0.063758 -7.019136 12.871084
1.033289 0.054310 -7.201376 13.558602
0.986630 0.074843 -7.268581 11.726718
0.863233 0.139133 -7.884956 6.803420
0.647418 0.272100 -6.535651 0.894671
0.403754 0.482034 -2.495133 -4.034056
0.217077 0.725841 3.168049 -6.994457
0.111340 0.922323 8.415074 -8.160313
